town,county,lat,lon
calvert,buckinghamshire,51.91,-1.01
calverton,nottinghamshire,53.03,-1.09
calvo,cumbria,54.86,-3.34
cam (rhee),bedfordshire,52.08,-0.15
cam (rhee),cambridgeshire,52.15,0.08
cam,cambridgeshire,52.23,0.17
cam,somerset,51.05,-2.5
cam,gloucestershire,51.68,-2.37
cam (rhee),hertfordshire,52.04,-0.19
cam,essex,51.94,0.23
cambeak,cornwall,50.73,-4.64
camber,east sussex,50.92,0.78
camberley,surrey,51.33,-0.73
camblesforth,north yorkshire,53.72,-1.03
cambo,northumberland,55.15,-1.97
cambois,northumberland,55.14,-1.53
camborne,cornwall,50.21,-5.3
cambridge,cambridgeshire,52.20,0.13
cambridge,gloucestershire,51.72,-2.37
cambridge,leeds,53.90,-1.69
cambridge town,essex,51.52,0.76
cambrose,cornwall,50.25,-5.25
cambus,clackmannan,56.12,-3.85
cambusbarron,stirling,56.10,-3.97
cambusdrenny,stirling,56.12,-4.01
cambuskenneth,stirling,56.12,-3.93
camden hill,kent,51.11,0.55
camden park,kent,51.11,0.27
camel,cornwall,50.49,-4.73
camelford,cornwall,50.61,-4.68
camel green,dorset,50.90,-1.83
camelon,falkirk,55.99,-3.82
camelsdale,west sussex,51.08,-0.74
camer,kent,51.37,0.36
camer's green,gloucestershire,52.00,-2.33
camerton,cumbria,54.65,-3.5
camesworth,dorset,50.77,-2.75
camlad,shropshire,52.53,-3.07
cammeringham,lincolnshire,53.32,-0.58
camoquhill,stirling,56.07,-4.36
camp,lincolnshire,53.07,-0.68
camp corner,oxfordshire,51.72,-1.07
camp hill,warwickshire,52.52,-1.51
camp hill,north yorkshire,54.23,-1.52
camphill,derbyshire,53.29,-1.73
campion hills,warwickshire,52.29,-1.53
campions,essex,51.78,0.14
campsall,doncaster,53.61,-1.18
camps end,cambridgeshire,52.05,0.34
campsfield,oxfordshire,51.83,-1.33
camps heath,suffolk,52.48,1.69
campton,bedfordshire,52.02,-0.35
camp town,leeds,53.84,-1.54
can,essex,51.79,0.33
canada,hampshire,50.95,-1.6
canada,lincolnshire,53.49,-0.31
canadia,east sussex,50.92,0.47
canal foot,cumbria,54.18,-3.05
canal side,doncaster,53.60,-0.97
candlesby,lincolnshire,53.18,0.16
candle street,suffolk,52.32,0.97
cane end,oxfordshire,51.50,-1.03
caneheath,east sussex,50.84,0.2
canewdon,essex,51.61,0.72
canfield end,essex,51.86,0.29
canford cliffs,poole,50.70,-1.93
canford heath,poole,50.74,-1.97
canford magna,poole,50.78,-1.95
cangate,norfolk,52.71,1.43
canham's green,suffolk,52.24,1.0
canholes,derbyshire,53.23,-1.94
canklow,rotherham,53.40,-1.36
canley,coventry,52.39,-1.56
cann,dorset,50.98,-2.18
cannalidgey,cornwall,50.48,-4.91
cannard's grave,somerset,51.16,-2.54
cann common,dorset,50.98,-2.17
cannington,somerset,51.14,-3.07
cannock,staffordshire,52.68,-2.03
cannock wood,staffordshire,52.70,-1.94
cannon's green,essex,51.73,0.27
cannop,gloucestershire,51.79,-2.58
canon bridge,hereford and worcester,52.06,-2.83
canonbury,islington,51.53,-0.09
canon frome,hereford and worcester,52.08,-2.51
canon pyon,hereford and worcester,52.12,-2.79
canons ashby,northamptonshire,52.14,-1.16
canonsgrove,somerset,50.98,-3.12
canons park,harrow,51.60,-0.29
canonstown,cornwall,50.16,-5.46
canterbury,kent,51.27,1.06
cantley,doncaster,53.51,-1.06
cantley,norfolk,52.57,1.51
cantlop,shropshire,52.64,-2.71
cantsfield,lancashire,54.14,-2.58
canvey island,essex,51.51,0.56
canvey island,essex,51.52,0.57
canvey point,essex,51.52,0.63
canwick,lincolnshire,53.20,-0.53
canworthy water,cornwall,50.69,-4.52
caorunn achaidh burn,stirling,56.20,-4.59
cape cornwall,cornwall,50.12,-5.7
capel,surrey,51.14,-0.32
capel,kent,51.17,0.33
capel cross,kent,51.13,0.44
capel curig,conwy,53.10,-3.91
capel garmon,conwy,53.07,-3.77
capel green,suffolk,52.08,1.44
capel-le-ferne,kent,51.09,1.19
capel siloam,conwy,53.06,-3.74
capel st andrew,suffolk,52.07,1.45
capel st mary,suffolk,52.00,1.04
capelulo,conwy,53.26,-3.89
capenhurst,cheshire,53.25,-2.96
capernwray,lancashire,54.13,-2.72
capheaton,northumberland,55.11,-1.95
capland,somerset,50.95,-2.99
capstone,kent,51.35,0.55
captain fold,rochdale,53.58,-2.22
capton,somerset,51.14,-3.31
capton,devon,50.36,-3.64
caradon town,cornwall,50.51,-4.41
carbis,cornwall,50.39,-4.81
carbis bay,cornwall,50.19,-5.47
carbrook,sheffield,53.39,-1.42
carbrooke,norfolk,52.58,0.86
carburton,nottinghamshire,53.25,-1.08
carclaze,cornwall,50.35,-4.78
carclew,cornwall,50.20,-5.11
car colston,nottinghamshire,52.97,-0.92
carcroft,doncaster,53.58,-1.18
carden brook,cheshire,53.01,-2.81
cardeston,shropshire,52.70,-2.9
cardew,cumbria,54.83,-3.02
cardewlees,cumbria,54.84,-3.02
cardinal's green,cambridgeshire,52.08,0.34
cardington,shropshire,52.55,-2.73
cardington,bedfordshire,52.11,-0.42
cardinham,cornwall,50.48,-4.65
cardurnock,cumbria,54.91,-3.29
careby,lincolnshire,52.73,-0.49
care village,leicestershire,52.55,-0.93
carey,hereford and worcester,51.97,-2.64
carey,devon,50.64,-4.32
carey park,cornwall,50.33,-4.51
carfury,cornwall,50.15,-5.58
cargate common,norfolk,52.46,1.13
cargo,cumbria,54.92,-3.0
cargo fleet,middlesbrough,54.57,-1.21
cargreen,cornwall,50.43,-4.21
carhampton,somerset,51.16,-3.43
carharrack,cornwall,50.22,-5.18
carisbrooke,isle of wight,50.68,-1.32
cark,cumbria,54.17,-2.98
carkeel,cornwall,50.41,-4.23
carlbury,north yorkshire,54.53,-1.67
carlby,rutland,52.70,-0.44
carlecotes,barnsley,53.52,-1.74
carleen,cornwall,50.12,-5.34
carlesmoor,north yorkshire,54.15,-1.72
carleton,cumbria,54.85,-2.9
carleton,cumbria,54.65,-2.73
carleton,lancashire,53.84,-3.01
carleton,north yorkshire,53.93,-2.04
carleton,cumbria,54.46,-3.52
carleton,wakefield,53.67,-1.3
carleton forehoe,norfolk,52.60,1.08
carleton hall,cumbria,54.36,-3.41
carleton rode,norfolk,52.48,1.1
carleton st peter,norfolk,52.56,1.45
carley hill,sunderland,54.92,-1.4
carlidnack,cornwall,50.11,-5.12
carlingwark,devon,50.91,-3.19
carlisle,cumbria,54.88,-2.95
carloggas,cornwall,50.44,-5.0
carloggas,cornwall,50.35,-4.88
carlton,suffolk,52.22,1.48
carlton,cambridgeshire,52.15,0.39
carlton,bedfordshire,52.18,-0.61
carlton,stockton-on-tees,54.58,-1.39
carlton,north yorkshire,53.70,-1.03
carlton,north yorkshire,54.25,-1.9
carlton,north yorkshire,54.26,-1.08
carlton,leeds,53.73,-1.5
carlton,barnsley,53.58,-1.45
carlton,nottinghamshire,52.96,-1.1
carlton,leicestershire,52.64,-1.42
carlton colville,suffolk,52.44,1.69
carlton colville,suffolk,52.45,1.69
carlton curlieu,leicestershire,52.56,-0.98
carlton green,cambridgeshire,52.13,0.39
carlton husthwaite,north yorkshire,54.17,-1.25
carlton in cleveland,north yorkshire,54.42,-1.23
carlton in lindrick,nottinghamshire,53.35,-1.11
carlton-le-moorland,lincolnshire,53.10,-0.65
carlton miniott,north yorkshire,54.22,-1.4
carlton-on-trent,nottinghamshire,53.15,-0.81
carlton purlieus,northamptonshire,52.47,-0.77
carlton scroop,lincolnshire,52.99,-0.58
carluddon,cornwall,50.36,-4.78
carlyon bay,cornwall,50.33,-4.74
carminow cross,cornwall,50.45,-4.7
carn arthen,cornwall,50.20,-5.26
carn brea village,cornwall,50.22,-5.25
carne,cornwall,50.07,-5.11
carne,cornwall,50.20,-4.93
carne,cornwall,50.38,-4.88
carnebone,cornwall,50.13,-5.22
carnforth,lancashire,54.12,-2.78
carnhell green,cornwall,50.18,-5.34
carnhot,cornwall,50.26,-5.17
carnkie,cornwall,50.16,-5.2
carnkie,cornwall,50.20,-5.25
carnkief,cornwall,50.32,-5.12
carnon downs,cornwall,50.21,-5.09
carnon river,cornwall,50.19,-5.13
carnsmerry,cornwall,50.38,-4.8
carn towan,cornwall,50.07,-5.69
carnyorth,cornwall,50.13,-5.68
caroe,cornwall,50.68,-4.6
carol green,solihull,52.39,-1.63
carpalla,cornwall,50.35,-4.86
carpenders park,hertfordshire,51.62,-0.38
carpenter's hill,hereford and worcester,52.32,-1.89
carperby,north yorkshire,54.29,-2.0
carr,rotherham,53.40,-1.23
carr,bury,53.64,-2.33
carr bank,cumbria,54.19,-2.81
carr beck,north yorkshire,54.39,-1.32
carr cross,lancashire,53.61,-2.95
carr gate,wakefield,53.71,-1.53
carr green,cheshire,53.38,-2.43
carr hill,gateshead,54.94,-1.59
carrhouse,devon,50.84,-3.74
carr houses,sefton,53.51,-3.02
carriden,falkirk,56.01,-3.58
carrington,lincolnshire,53.06,-0.04
carrington,nottinghamshire,52.97,-1.16
carrog,conwy,53.00,-3.84
carron,falkirk,56.01,-3.88
carron,falkirk,56.01,-3.79
carronshore,falkirk,56.02,-3.79
carroway head,warwickshire,52.58,-1.78
carr sheild,northumberland,54.81,-2.31
carr vale,derbyshire,53.21,-1.31
carrville,durham,54.78,-1.53
carshalton,sutton,51.36,-0.17
carshalton beeches,sutton,51.35,-0.17
carshalton on the hill,sutton,51.35,-0.16
carsington,derbyshire,53.07,-1.62
carsington water,derbyshire,53.05,-1.62
carswell marsh,oxfordshire,51.68,-1.53
cartbridge,surrey,51.29,-0.55
carter knowle,sheffield,53.35,-1.5
carter's clay,hampshire,51.01,-1.57
carter's green,essex,51.76,0.18
carter's hill,berkshire,51.41,-0.9
carterspiece,gloucestershire,51.82,-2.59
carterton,oxfordshire,51.75,-1.59
carterway heads,northumberland,54.85,-1.93
carthamartha,cornwall,50.56,-4.31
carthew,cornwall,50.36,-4.81
carthew,cornwall,50.17,-5.25
carthorpe,north yorkshire,54.24,-1.54
cartington,northumberland,55.33,-1.95
cartledge,derbyshire,53.28,-1.52
cartmel,cumbria,54.19,-2.95
cartmel fell,cumbria,54.28,-2.9
carwinley,cumbria,55.03,-2.94
carwynnen,cornwall,50.18,-5.29
cary,somerset,51.09,-2.81
cary fitzpaine,somerset,51.04,-2.65
carzise,cornwall,50.15,-5.37
cashes green,gloucestershire,51.74,-2.26
cashmoor,dorset,50.91,-2.04
cassey compton,gloucestershire,51.83,-1.94
cassington,oxfordshire,51.78,-1.34
cassop,durham,54.73,-1.47
castallack,cornwall,50.07,-5.56
castell,conwy,53.20,-3.85
casterton,cumbria,54.20,-2.58
castle,somerset,51.19,-2.71
castle,somerset,51.04,-3.29
castle,devon,50.80,-2.95
castle acre,norfolk,52.70,0.67
castle ashby,northamptonshire,52.22,-0.74
castle bolton,north yorkshire,54.31,-1.95
castle bromwich,birmingham,52.49,-1.78
castle bytham,lincolnshire,52.75,-0.54
castle camps,cambridgeshire,52.06,0.37
castle carlton,lincolnshire,53.32,0.08
castle carrock,cumbria,54.88,-2.71
castle cary,somerset,51.08,-2.52
castle combe,wiltshire,51.49,-2.23
castlecroft,staffordshire,52.57,-2.19
castle donington,leicestershire,52.83,-1.34
castle eaton,wiltshire,51.65,-1.79
castle eden,durham,54.72,-1.34
castle end,cambridgeshire,52.65,-0.34
castlefields,cheshire,53.33,-2.7
castle fields,shropshire,52.71,-2.74
castleford,wakefield,53.72,-1.36
castle frome,hereford and worcester,52.10,-2.49
castle gate,cornwall,50.15,-5.51
castlegreen,shropshire,52.49,-3.0
castle green,surrey,51.33,-0.62
castle green,barnsley,53.51,-1.62
castle gresley,derbyshire,52.75,-1.6
castle hedingham,essex,51.98,0.59
castle hill,kent,51.15,0.41
castle hill,east sussex,51.03,0.2
castle hill,suffolk,52.07,1.13
castle hill,hereford and worcester,52.22,-2.33
castle hill,stockport,53.43,-2.12
castlemorton,hereford and worcester,52.03,-2.3
castlerigg,cumbria,54.58,-3.11
castle rising,norfolk,52.78,0.46
castleside,durham,54.82,-1.87
castlethorpe,northamptonshire,52.08,-0.84
castleton,north yorkshire,54.46,-0.95
castleton,derbyshire,53.33,-1.77
castleton,rochdale,53.58,-2.18
castle town,west sussex,50.87,-0.29
castletown,dorset,50.56,-2.45
castletown,sunderland,54.91,-1.45
castletown,cumbria,54.66,-2.77
castletown,cheshire,53.05,-2.85
castletown,staffordshire,52.80,-2.13
castletump,gloucestershire,51.95,-2.42
castle vale,birmingham,52.51,-1.79
castley,leeds,53.90,-1.6
castling's heath,suffolk,52.05,0.87
caston,norfolk,52.53,0.87
castor,cambridgeshire,52.56,-0.34
cat bank,cumbria,54.36,-3.07
catchall,cornwall,50.08,-5.59
catchems corner,solihull,52.38,-1.63
catchems end,hereford and worcester,52.37,-2.3
catchgate,durham,54.86,-1.75
catchwater drain,lincolnshire,53.19,-0.26
catcleugh,northumberland,55.32,-2.41
catcliffe,rotherham,53.38,-1.36
catcomb,wiltshire,51.48,-2.0
catcott,somerset,51.14,-2.87
caterham,surrey,51.27,-0.09
catfield,norfolk,52.73,1.52
catford,lewisham,51.43,-0.01
catforth,lancashire,53.80,-2.8
catherine-de-barnes,solihull,52.41,-1.75
catherington,hampshire,50.92,-1.01
catherston leweston,dorset,50.74,-2.89
cat hill,barnsley,53.54,-1.63
cathiron,warwickshire,52.39,-1.32
catholes,cumbria,54.30,-2.53
catisfield,hampshire,50.85,-1.23
catley lane head,rochdale,53.63,-2.19
catley southfield,hereford and worcester,52.09,-2.46
catlowdy,cumbria,55.07,-2.86
catmere end,essex,52.02,0.17
catmore,berkshire,51.51,-1.35
caton,devon,50.52,-3.72
caton,lancashire,54.07,-2.71
caton green,lancashire,54.07,-2.7
cat's common,norfolk,52.75,1.46
cats edge,staffordshire,53.06,-2.07
catsfield,east sussex,50.89,0.44
catsfield stream,east sussex,50.89,0.43
catsgore,somerset,51.02,-2.71
catsham,somerset,51.09,-2.64
catshaw,barnsley,53.52,-1.69
catshill,hereford and worcester,52.35,-2.07
catshill,walsall,52.64,-1.92
cat's hill cross,staffordshire,52.86,-2.26
catslip,oxfordshire,51.56,-0.99
catstree,shropshire,52.56,-2.38
cattal,north yorkshire,53.98,-1.33
cattawade,suffolk,51.95,1.05
cattedown,devon,50.35,-4.12
catterall,lancashire,53.87,-2.77
catterick,north yorkshire,54.36,-1.63
catterick bridge,north yorkshire,54.38,-1.66
catterlen,cumbria,54.68,-2.8
catterton,north yorkshire,53.89,-1.22
catteshall,surrey,51.18,-0.59
catthorpe,leicestershire,52.39,-1.19
cattistock,dorset,50.78,-2.58
cattle end,northamptonshire,52.08,-1.03
catton,northumberland,54.90,-2.28
catton,north yorkshire,54.19,-1.43
catworth,cambridgeshire,52.34,-0.41
caudle green,gloucestershire,51.78,-2.08
caudlesprings,norfolk,52.57,0.86
caulcott,bedfordshire,52.06,-0.55
caulcott,oxfordshire,51.91,-1.27
cauldcoats holdings,falkirk,55.99,-3.55
cauldhame,stirling,56.11,-4.18
cauldon,staffordshire,53.03,-1.89
cauldon lowe,staffordshire,53.02,-1.88
caundle marsh,dorset,50.91,-2.47
caunsall,hereford and worcester,52.42,-2.22
caunton,nottinghamshire,53.13,-0.89
causeway,hampshire,50.99,-0.94
causeway,hampshire,50.90,-1.01
causeway end,essex,51.84,0.43
causeway end,wiltshire,51.55,-2.0
causeway end,cumbria,54.24,-3.01
causeway end,cumbria,54.25,-2.79
causeway green,sandwell,52.48,-2.01
causewayhead,stirling,56.13,-3.93
causewaywood,shropshire,52.57,-2.7
causey,durham,54.89,-1.68
causey park bridge,northumberland,55.24,-1.71
caute,devon,50.86,-4.23
cautley,cumbria,54.35,-2.47
cavendish,suffolk,52.08,0.62
cavendish bridge,leicestershire,52.85,-1.34
cavenham,suffolk,52.29,0.57
caversfield,oxfordshire,51.92,-1.15
caversham,berkshire,51.46,-0.97
caversham heights,berkshire,51.46,-0.99
caverswall,staffordshire,52.97,-2.07
cawkwell,lincolnshire,53.29,-0.08
cawood,north yorkshire,53.82,-1.13
cawsand,cornwall,50.32,-4.2
cawston,warwickshire,52.35,-1.31
cawston,norfolk,52.76,1.15
cawthorne,north yorkshire,54.29,-0.81
cawthorne,barnsley,53.55,-1.57
cawthorpe,lincolnshire,52.78,-0.38
cawton,north yorkshire,54.17,-1.02
caxton,cambridgeshire,52.20,-0.09
caynham,shropshire,52.35,-2.67
caythorpe,lincolnshire,53.02,-0.61
caythorpe,nottinghamshire,52.99,-0.98
cayton,north yorkshire,54.23,-0.39
cefn berain,conwy,53.20,-3.51
cefn-brith,conwy,53.03,-3.59
cefn-coch,conwy,53.19,-3.7
cefn einion,shropshire,52.46,-3.06
ceiriog,shropshire,52.94,-3.02
ceirw,conwy,53.00,-3.55
ceirw,conwy,53.01,-3.62
cellarhead,staffordshire,53.02,-2.07
cellarhill,kent,51.32,0.79
cerne,dorset,50.78,-2.46
cerne abbas,dorset,50.80,-2.48
cerney wick,gloucestershire,51.66,-1.9
cerrigydrudion,conwy,53.01,-3.56
cess,norfolk,52.69,1.6
chaceley,gloucestershire,51.96,-2.21
chaceley hole,gloucestershire,51.96,-2.23
chaceley stock,gloucestershire,51.95,-2.2
chacewater,cornwall,50.25,-5.15
chackmore,buckinghamshire,52.00,-1.01
chacombe,northamptonshire,52.08,-1.28
chadbury,hereford and worcester,52.11,-1.98
chadderton,oldham,53.54,-2.15
chadderton fold,oldham,53.55,-2.16
chaddesley corbett,hereford and worcester,52.35,-2.16
chaddlehanger,devon,50.57,-4.17
chaddlewood,devon,50.38,-4.04
chaddleworth,berkshire,51.49,-1.41
chadkirk,stockport,53.39,-2.09
chadlington,oxfordshire,51.88,-1.53
chadshunt,warwickshire,52.16,-1.5
chadsmoor,staffordshire,52.69,-2.03
chadstone,northamptonshire,52.21,-0.75
chad valley,birmingham,52.46,-1.94
chadwell,leicestershire,52.80,-0.84
chadwell,shropshire,52.72,-2.32
chadwell end,bedfordshire,52.27,-0.41
chadwell st mary,essex,51.47,0.36
chadwick,hereford and worcester,52.31,-2.25
chadwick end,warwickshire,52.35,-1.7
chaffcombe,somerset,50.88,-2.92
chafford hundred,essex,51.48,0.28
chagford,devon,50.66,-3.84
chailey,east sussex,50.95,-0.02
chain bridge,lincolnshire,52.96,-0.06
chainbridge,cambridgeshire,52.57,0.09
chainhurst,kent,51.19,0.47
chalbury,dorset,50.85,-1.98
chalbury common,dorset,50.85,-1.97
chaldon,surrey,51.27,-0.12
chaldon herring (east chaldon),dorset,50.64,-2.29
chale,isle of wight,50.59,-1.32
chale green,isle of wight,50.60,-1.32
chalfont common,buckinghamshire,51.61,-0.55
chalfont grove,buckinghamshire,51.60,-0.58
chalfont st giles,buckinghamshire,51.62,-0.58
chalfont st peter,buckinghamshire,51.60,-0.55
chalford,wiltshire,51.24,-2.2
chalford,gloucestershire,51.71,-2.16
chalford,oxfordshire,51.69,-0.97
chalford hill,gloucestershire,51.72,-2.16
chalgrave,bedfordshire,51.93,-0.53
chalgrove,oxfordshire,51.65,-1.09
chalk,kent,51.43,0.4
chalk end,essex,51.76,0.36
chalkfoot,cumbria,54.82,-3.04
chalkhill,norfolk,52.57,0.72
chalkhouse green,oxfordshire,51.49,-0.97
chalkshire,buckinghamshire,51.75,-0.78
chalksole,kent,51.14,1.21
chalkway,somerset,50.85,-2.89
chalkwell,essex,51.53,0.66
chalkwell,kent,51.34,0.71
challaborough,devon,50.28,-3.89
challacombe,devon,51.14,-3.87
challock,kent,51.21,0.86
chalmington,dorset,50.79,-2.58
chalton,hampshire,50.93,-0.96
chalton,bedfordshire,52.13,-0.33
chalton,bedfordshire,51.92,-0.5
chalvedon,essex,51.56,0.49
chalvey,berkshire,51.50,-0.61
chalvington,east sussex,50.86,0.15
chambercombe,devon,51.20,-4.12
chamber's green,kent,51.15,0.74
champernhayes marsh,dorset,50.76,-2.92
champson,devon,51.03,-3.71
chance's pitch,hereford and worcester,52.05,-2.38
chandler's cross,hereford and worcester,52.04,-2.33
chandler's cross,hertfordshire,51.67,-0.46
chandler's ford,hampshire,50.97,-1.38
chandlers green,hampshire,51.31,-0.99
channel's end,bedfordshire,52.19,-0.37
chantry,devon,50.98,-4.02
chantry,somerset,51.22,-2.4
chantry,suffolk,52.04,1.11
chapel,cornwall,50.40,-5.04
chapel,cumbria,54.66,-3.21
chapel allerton,somerset,51.24,-2.86
chapel allerton,leeds,53.82,-1.54
chapel amble,cornwall,50.54,-4.83
chapel brampton,northamptonshire,52.28,-0.94
chapel chorlton,staffordshire,52.93,-2.28
chapel cleeve,somerset,51.16,-3.38
chapel cross,east sussex,50.95,0.29
chapel end,cambridgeshire,52.42,-0.35
chapel end,northamptonshire,52.46,-0.36
chapel end,warwickshire,52.53,-1.52
chapel end,bedfordshire,52.20,-0.39
chapel end,bedfordshire,52.11,-0.4
chapel end,bedfordshire,52.06,-0.46
chapel end,essex,51.89,0.26
chapel end,cheshire,52.98,-2.49
chapel-en-le-frith,derbyshire,53.31,-1.92
chapel field,bury,53.55,-2.31
chapel field,norfolk,52.76,1.49
chapel fields,coventry,52.40,-1.54
chapel fields,york,53.95,-1.14
chapelgate,lincolnshire,52.79,0.08
chapel green,solihull,52.46,-1.61
chapel green,warwickshire,52.23,-1.32
chapel green,hertfordshire,51.99,-0.04
chapel haddlesey,north yorkshire,53.72,-1.12
chapel head,cambridgeshire,52.41,-0.03
chapel hill,gloucestershire,51.71,-2.56
chapel hill,lincolnshire,53.07,-0.21
chapel house,lancashire,53.54,-2.8
chapel knapp,wiltshire,51.41,-2.17
chapel lawn,shropshire,52.37,-3.01
chapel-le-dale,north yorkshire,54.18,-2.41
chapel leigh,somerset,51.05,-3.25
chapel milton,derbyshire,53.32,-1.92
chapel plaister,wiltshire,51.40,-2.23
chapel point,cornwall,50.25,-4.77
chapel row,east sussex,50.88,0.31
chapel row,essex,51.67,0.58
chapel row,berkshire,51.41,-1.18
chapels,cumbria,54.23,-3.18
chapels,lancashire,53.70,-2.47
chapel stile,cumbria,54.43,-3.04
chapel st leonards,lincolnshire,53.22,0.32
chapelthorpe,wakefield,53.63,-1.53
chapelton,devon,51.01,-4.04
chapel town,cornwall,50.35,-4.98
chapeltown,sheffield,53.46,-1.47
chapeltown,lancashire,53.63,-2.4
chapman's hill,hereford and worcester,52.39,-2.06
chapmanslade,wiltshire,51.22,-2.25
chapman's town,east sussex,50.93,0.29
chapmans well,devon,50.71,-4.33
chapmore end,hertfordshire,51.82,-0.08
chappel,essex,51.91,0.74
char,dorset,50.77,-2.81
charaton,cornwall,50.49,-4.39
charcott,kent,51.20,0.17
chard,somerset,50.86,-2.96
chard junction,dorset,50.83,-2.93
chardleigh green,somerset,50.88,-2.98
chard reservoir,somerset,50.88,-2.93
chardstock,devon,50.83,-2.99
charford,hereford and worcester,52.31,-2.07
chargrove,gloucestershire,51.86,-2.11
charing,kent,51.20,0.79
charing heath,kent,51.20,0.74
charing hill,kent,51.21,0.8
charingworth,gloucestershire,52.04,-1.7
charlbury,oxfordshire,51.86,-1.49
charlcutt,wiltshire,51.47,-2.03
charlecote,warwickshire,52.20,-1.62
charlemont,sandwell,52.53,-1.98
charles,devon,51.07,-3.88
charles bottom,devon,51.06,-3.88
charleshill,surrey,51.18,-0.72
charlestown,cornwall,50.32,-4.75
charlestown,dorset,50.60,-2.51
charlestown,bradford,53.83,-1.77
charlestown,manchester,53.52,-2.21
charlestown,salford,53.48,-2.28
charlestown,derbyshire,53.42,-1.95
charles tye,suffolk,52.12,0.95
charlesworth,derbyshire,53.43,-2.0
charlinch,somerset,51.12,-3.1
charlton,wiltshire,50.99,-2.14
charlton,somerset,51.02,-3.01
charlton,somerset,51.18,-2.53
charlton,hampshire,51.22,-1.5
charlton,west sussex,50.90,-0.74
charlton,hereford and worcester,52.33,-2.25
charlton,hereford and worcester,52.10,-1.98
charlton,northamptonshire,52.02,-1.24
charlton,hertfordshire,51.93,-0.29
charlton,oxfordshire,51.58,-1.42
charlton,wiltshire,51.59,-2.05
charlton,somerset,51.26,-2.46
charlton,wiltshire,51.30,-1.84
charlton,greenwich,51.48,0.02
charlton,surrey,51.40,-0.44
charlton,northumberland,55.15,-2.31
charlton,shropshire,52.69,-2.6
charlton abbots,gloucestershire,51.91,-1.95
charlton adam,somerset,51.04,-2.67
charlton-all-saints,wiltshire,51.00,-1.75
charltonbrook,sheffield,53.46,-1.48
charlton horethorne,somerset,51.00,-2.48
charlton kings,gloucestershire,51.87,-2.05
charlton mackrell,somerset,51.04,-2.68
charlton marshall,dorset,50.82,-2.14
charlton musgrove,somerset,51.07,-2.4
charlton-on-otmoor,oxfordshire,51.83,-1.18
charlton on the hill,dorset,50.82,-2.15
charlton park,gloucestershire,51.87,-2.07
charlwood,hampshire,51.07,-1.04
charlwood,east sussex,51.08,-0.01
charlwood,surrey,51.15,-0.22
charminster,dorset,50.72,-2.45
charminster,bournemouth,50.74,-1.85
charmouth,dorset,50.73,-2.9
charnage,wiltshire,51.07,-2.24
charndon,buckinghamshire,51.91,-1.02
charnes,staffordshire,52.89,-2.34
charney bassett,oxfordshire,51.64,-1.45
charnock green,lancashire,53.63,-2.68
charnock hall,derbyshire,53.33,-1.43
charnock richard,lancashire,53.63,-2.68
charsfield,suffolk,52.15,1.28
chart corner,kent,51.22,0.56
charter alley,hampshire,51.30,-1.15
charterhouse,somerset,51.29,-2.71
chartershall,stirling,56.08,-3.94
chartershall,stirling,56.08,-3.93
charterville allotments,oxfordshire,51.78,-1.55
chartham,kent,51.24,1.0
chartham hatch,kent,51.26,1.0
chart hill,kent,51.21,0.56
chartridge,buckinghamshire,51.71,-0.65
chart sutton,kent,51.22,0.56
charvil,berkshire,51.47,-0.89
charwelton,northamptonshire,52.19,-1.22
chase end street,gloucestershire,52.01,-2.35
chase terrace,staffordshire,52.67,-1.94
chasetown,staffordshire,52.67,-1.92
chastleton,oxfordshire,51.95,-1.65
chasty,devon,50.79,-4.35
chatburn,lancashire,53.89,-2.36
chatcull,staffordshire,52.90,-2.31
chater,leicestershire,52.63,-0.52
chatford,shropshire,52.64,-2.78
chatham,kent,51.35,0.52
chatham green,essex,51.80,0.47
chathill,northumberland,55.52,-1.71
chat hill,bradford,53.78,-1.83
chatley,hereford and worcester,52.24,-2.22
chattenden,kent,51.41,0.51
chatter end,essex,51.90,0.13
chatteris,cambridgeshire,52.44,0.04
chatterley,staffordshire,53.05,-2.24
chattern hill,surrey,51.42,-0.44
chatterton,lancashire,53.65,-2.31
chattisham,suffolk,52.03,1.04
chattle hill,warwickshire,52.50,-1.72
chatton,northumberland,55.54,-1.92
chaulden,hertfordshire,51.74,-0.5
chaul end,bedfordshire,51.87,-0.47
chavel,shropshire,52.71,-2.86
chavenage green,gloucestershire,51.65,-2.2
chavey down,berkshire,51.41,-0.72
chawleigh,devon,50.89,-3.83
chawley,oxfordshire,51.73,-1.32
chawson,hereford and worcester,52.25,-2.17
chawston,bedfordshire,52.19,-0.31
chawton,hampshire,51.12,-1.0
chaxhill,gloucestershire,51.82,-2.37
chazey heath,oxfordshire,51.48,-1.0
cheadle,stockport,53.38,-2.21
cheadle,staffordshire,52.98,-1.98
cheadle heath,stockport,53.39,-2.19
cheadle hulme,stockport,53.37,-2.19
cheadle park,staffordshire,52.98,-2.0
cheam,surrey,51.34,-0.22
cheapside,hertfordshire,51.97,0.03
cheapside,berkshire,51.41,-0.64
chearsley,buckinghamshire,51.78,-0.97
chebsey,staffordshire,52.84,-2.2
checkendon,oxfordshire,51.54,-1.04
checkley,hereford and worcester,52.03,-2.59
checkley,staffordshire,52.93,-1.97
checkley,cheshire,53.01,-2.4
checkley brook,cheshire,53.01,-2.33
checkley green,cheshire,53.00,-2.41
chedburgh,suffolk,52.18,0.61
